Date,MAW
2016-11-12 23:15:15,10032
2016-11-12 23:15:30,10048
2016-11-12 23:15:45,10080
2016-11-12 23:16:00,10383
2016-11-12 23:16:15,10339
2016-11-12 23:16:30,10277
2016-11-12 23:16:45,10476
2016-11-12 23:17:00,10760
2016-11-12 23:17:15,10860
2016-11-12 23:17:30,11210
2016-11-12 23:17:45,11125
2016-11-12 23:18:00,11137
2016-11-12 23:18:15,11340
2016-11-12 23:18:30,11300
2016-11-12 23:18:45,11273
2016-11-12 23:19:00,11295
2016-11-12 23:19:15,11291
2016-11-12 23:19:30,11189
2016-11-12 23:19:45,10828
2016-11-12 23:20:00,10772
2016-11-12 23:20:15,10686
2016-11-12 23:20:30,10028
2016-11-12 23:20:45,10116
2016-11-12 23:21:00,9598
2016-11-12 23:21:15,9539
2016-11-12 23:21:30,9784
2016-11-12 23:21:45,10114
2016-11-12 23:22:00,10165
2016-11-12 23:22:15,10068
2016-11-12 23:22:30,9948
2016-11-12 23:22:45,9518
2016-11-12 23:23:00,9056
2016-11-12 23:23:15,8845
2016-11-12 23:23:30,8701
2016-11-12 23:23:45,8646
2016-11-13 23:00:00,8718
2016-11-13 23:00:15,8652
2016-11-13 23:00:30,8577
2016-11-13 23:00:45,8507
2016-11-13 23:01:00,8435
2016-11-13 23:01:15,8378
2016-11-13 23:01:30,8365
2016-11-13 23:01:45,8367
2016-11-13 23:02:00,8378
2016-11-13 23:02:15,8363
2016-11-13 23:02:30,8390
2016-11-13 23:02:45,8438
2016-11-13 23:03:00,8465
2016-11-13 23:03:15,8423
2016-11-13 23:03:30,8456
2016-11-13 23:03:45,8519
2016-11-13 23:04:00,8803
2016-11-13 23:04:15,8872
2016-11-13 23:04:30,8954
2016-11-13 23:04:45,9071
2016-11-13 23:05:00,9295
2016-11-13 23:05:15,9408
2016-11-13 23:05:30,9599
2016-11-13 23:05:45,9788
2016-11-13 23:06:00,10063
2016-11-13 23:06:15,10528
2016-11-13 23:06:30,10795
2016-11-13 23:06:45,11118
2016-11-13 23:07:00,11438
2016-11-13 23:07:15,11640
2016-11-13 23:07:30,11818
2016-11-13 23:07:45,12023
2016-11-13 23:08:00,12185
2016-11-13 23:08:15,12080
2016-11-13 23:08:30,12051
2016-11-13 23:08:45,12108
2016-11-13 23:09:00,12149
2016-11-13 23:09:15,12055
2016-11-13 23:09:30,12060
2016-11-13 23:09:45,12187
2016-11-13 23:10:00,12277
2016-11-13 23:10:15,12279
2016-11-13 23:10:30,12295
2016-11-13 23:10:45,12362
2016-11-13 23:11:00,12417
2016-11-13 23:11:15,12498
2016-11-13 23:11:30,12524
2016-11-13 23:11:45,13015
2016-11-13 23:12:00,12067
2016-11-13 23:12:15,12039
2016-11-13 23:12:30,11982
2016-11-13 23:12:45,11892
2016-11-13 23:13:00,12178
2016-11-13 23:13:15,11834
2016-11-13 23:13:30,11757
2016-11-13 23:13:45,11844
2016-11-13 23:14:00,11788
2016-11-13 23:14:15,11623
2016-11-13 23:14:30,11435
2016-11-13 23:14:45,11176
2016-11-13 23:15:00,9679
2016-11-13 23:15:15,11545
2016-11-13 23:15:30,11610
2016-11-13 23:15:45,11571
2016-11-13 23:16:00,11670
2016-11-13 23:16:15,10627
2016-11-13 23:16:30,8780
2016-11-13 23:16:45,8883
2016-11-13 23:17:00,8986
2016-11-13 23:17:15,9088
2016-11-13 23:17:30,9191
2016-11-13 23:17:45,9294
2016-11-13 23:18:00,9397
2016-11-13 23:18:15,9499
2016-11-13 23:18:30,9602
2016-11-13 23:18:45,9705
2016-11-13 23:19:00,9808
2016-11-13 23:19:15,9910
2016-11-13 23:19:30,10013
2016-11-13 23:19:45,10116
2016-11-13 23:20:00,10219
2016-11-13 23:20:15,10321
2016-11-13 23:20:30,10424
2016-11-13 23:20:45,10527
2016-11-13 23:21:00,10630
2016-11-13 23:21:15,10732
2016-11-13 23:21:30,11264
2016-11-13 23:21:45,10651
2016-11-13 23:22:00,10652
2016-11-13 23:22:15,10503
2016-11-13 23:22:30,10390
2016-11-13 23:22:45,10096
2016-11-13 23:23:00,9818
2016-11-13 23:23:15,9635
2016-11-13 23:23:30,9443
2016-11-13 23:23:45,9344
2016-11-14 23:00:00,9440
2016-11-14 23:00:15,9395
2016-11-14 23:00:30,9311
2016-11-14 23:00:45,9221
2016-11-14 23:01:00,9138
2016-11-14 23:01:15,9091
2016-11-14 23:01:30,9055
2016-11-14 23:01:45,9025
2016-11-14 23:02:00,9018
